date,equity
2023-04-26,1078302.6731211247
2023-04-27,1078302.6731211247
2023-04-28,1078302.6731211247
2023-05-01,1078302.6731211247
2023-05-02,1078302.6731211247
2023-05-03,1078302.6731211247
2023-05-04,1078302.6731211247
2023-05-05,1078302.6731211247
2023-05-08,1078302.6731211247
2023-05-09,1078302.6731211247
2023-05-10,1078302.6731211247
2023-05-11,1078302.6731211247
2023-05-12,1078302.6731211247
2023-05-15,1078302.6731211247
2023-05-16,1078302.6731211247
2023-05-17,1078302.6731211247
2023-05-18,1078302.6731211247
2023-05-19,1078302.6731211247
2023-05-22,1078302.6731211247
2023-05-23,1078302.6731211247
2023-05-24,1078302.6731211247
2023-05-25,1078302.6731211247
2023-05-26,1078302.6731211247
2023-05-30,1078302.6731211247
2023-05-31,1078302.6731211247
2023-06-01,1078302.6731211247
2023-06-02,1078302.6731211247
2023-06-05,1078302.6731211247
2023-06-06,1078302.6731211247
2023-06-07,1078302.6731211247
2023-06-08,1078302.6731211247
2023-06-09,1078302.6731211247
2023-06-12,1078302.6731211247
2023-06-13,1078302.6731211247
2023-06-14,1078302.6731211247
2023-06-15,1078302.6731211247
2023-06-16,1078302.6731211247
2023-06-20,1078302.6731211247
2023-06-21,1078302.6731211247
2023-06-22,1078302.6731211247
2023-06-23,1078302.6731211247
2023-06-26,1078302.6731211247
